Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),ExteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),HeatRejection:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 08/17  22:00:00,1257683968.447946,0.0,0.0,179426617.44547747,184543200.0,717706469.7819098,175999648.3516483,0.0,8032.868910684216,0.0,7881325.272869661,0.0,7881325.272869661 
 08/17  23:00:00,1079970836.350167,0.0,0.0,89713308.72273873,184543200.0,717706469.7819098,87999824.17582415,0.0,8033.669694128187,0.0,7880998.247173798,0.0,7880998.247173798 
 08/17  24:00:00,1035970926.0580083,0.0,0.0,89713308.72273873,184543200.0,717706469.7819098,43999912.087912078,0.0,8035.465447830556,0.0,7880522.6238488419,0.0,7880522.6238488419 
 08/18  01:00:00,1035970926.7865429,0.0,0.0,89713308.72273873,184543200.0,717706469.7819098,43999912.087912078,0.0,8036.193982427265,0.0,7881001.128738021,0.0,7881001.128738021 
 08/18  02:00:00,1035970928.2611829,0.0,0.0,89713308.72273873,184543200.0,717706469.7819098,43999912.087912078,0.0,8037.668622418741,0.0,7880526.976044325,0.0,7880526.976044325 
 08/18  03:00:00,1035970927.4953078,0.0,0.0,89713308.72273873,184543200.0,717706469.7819098,43999912.087912078,0.0,8036.90274720798,0.0,7881004.673945959,0.0,7881004.673945959 
 08/18  04:00:00,1079970840.6669248,0.0,0.0,89713308.72273873,184543200.0,717706469.7819098,87999824.17582415,0.0,8037.986451870307,0.0,7880530.023522736,0.0,7880530.023522736 
 08/18  05:00:00,1257688782.6230515,0.0,0.0,179426617.44547747,184543200.0,717706469.7819098,175999648.3516483,0.0,12847.044016005824,0.0,7887868.946276409,0.0,7887868.946276409 
 08/18  06:00:00,1760076187.9904333,0.0,54001236.371536809,179426617.44547747,92271600.0,717706469.7819098,351999296.7032966,111138921.4492801,136627638.4137596,116904407.82517325,914684308.0691229,906798097.9578698,7886210.111253053 
 08/18  07:00:00,2202029851.772124,0.0,138553830.73775617,538279852.336432,0.0,717706469.7819098,439999120.8791207,103907369.5922554,146678800.61947597,116904407.82517325,560143005.5129842,528693259.2632536,31449746.24973042 
 08/18  08:00:00,4321616813.336934,0.0,261897362.3936711,1614839557.0092962,0.0,1614839557.0092962,439999120.8791207,107521034.60279358,165615773.6175819,116904407.82517325,166802438.50214649,127296838.23038212,39505600.27176436 
 08/18  09:00:00,4232295798.468506,0.0,286573058.56608536,1614839557.0092962,0.0,1614839557.0092962,307999384.6153846,113970042.00210688,177169791.44116373,116904407.82517325,62332188.166377279,13938623.398340049,48393564.76803723 
 08/18  10:00:00,4105010408.475152,0.0,327954251.84744516,1614839557.0092962,0.0,1614839557.0092962,131999736.26373624,118141575.17486471,180331323.34534026,116904407.82517325,55168213.59442558,790193.0167848934,54378020.57764069 
 08/18  11:00:00,4165011969.7507736,0.0,376586338.880529,1614839557.0092962,0.0,1614839557.0092962,131999736.26373624,117137855.44546446,192704517.31727777,116904407.82517325,55486757.60691076,0.0,55486757.60691076 
 08/18  12:00:00,3991714488.216169,0.0,381537672.919943,1614839557.0092962,0.0,1435412939.5638197,131999736.26373624,106555379.27244209,204464795.36175887,116904407.82517325,79516583.96586092,0.0,79516583.96586092 
 08/18  13:00:00,4225639208.002494,0.0,415104634.4165222,1614839557.0092962,0.0,1614839557.0092962,131999736.26373624,122106590.44363192,209844725.03483764,116904407.82517325,63553344.712724808,0.0,63553344.712724808 
 08/18  14:00:00,4263642351.843217,0.0,445881768.8844436,1614839557.0092962,0.0,1614839557.0092962,131999736.26373624,126751376.1805754,212425948.67069669,116904407.82517325,47368217.90041821,0.0,47368217.90041821 
 08/18  15:00:00,4278298285.344631,0.0,457039472.9948912,1614839557.0092962,0.0,1614839557.0092962,131999736.26373624,130270362.15530738,212405192.08693049,116904407.82517325,39469381.60655024,0.0,39469381.60655024 
 08/18  16:00:00,4448849112.271647,0.0,450718095.23503479,1614839557.0092962,0.0,1614839557.0092962,307999384.6153846,134536276.09555636,209011834.48190619,116904407.82517325,55434916.38500247,0.0,55434916.38500247 
 08/18  17:00:00,3979354373.465053,0.0,411889201.78754219,1255986322.1183415,0.0,1435412939.5638197,439999120.8791207,121610144.07203339,197552237.21902228,116904407.82517325,31518404.069664517,0.0,31518404.069664517 
 08/18  18:00:00,3173619286.5168645,0.0,351237346.01296076,897133087.2273873,0.0,1076559704.672864,439999120.8791207,107067584.34570159,184718035.55365593,116904407.82517325,31469894.791192935,0.0,31469894.791192935 
 08/18  19:00:00,3081107767.531313,0.0,321604740.28672018,897133087.2273873,30757200.0,1076559704.672864,351999296.7032966,104108880.55935189,182040450.25651867,116904407.82517325,15809732.910672185,69569.8794211139,15740163.031251071 
 08/18  20:00:00,2714683099.6198375,0.0,338049349.9043765,538279852.336432,184543200.0,897133087.2273873,351999296.7032966,103907369.5922554,183866536.03091554,116904407.82517325,94452955.64918024,70860821.76548621,23592133.883694039 
 08/18  21:00:00,2643036689.0048296,0.0,352909640.33065846,538279852.336432,184543200.0,897133087.2273873,263999472.52747248,103907369.5922554,185359659.1654496,116904407.82517325,226926016.3667894,211220862.86376984,15705153.503019598 
 08/18  22:00:00,1257683969.795091,0.0,0.0,179426617.44547747,184543200.0,717706469.7819098,175999648.3516483,0.0,8034.216055720561,0.0,7881360.691526807,0.0,7881360.691526807 
 08/18  23:00:00,1079970834.3022378,0.0,0.0,89713308.72273873,184543200.0,717706469.7819098,87999824.17582415,0.0,8031.621764989007,0.0,7880884.202560975,0.0,7880884.202560975 
 08/18  24:00:00,1035970923.734087,0.0,0.0,89713308.72273873,184543200.0,717706469.7819098,43999912.087912078,0.0,8033.141526362025,0.0,72000.0,0.0,72000.0 
 08/19  01:00:00,856544304.8070432,0.0,0.0,89713308.72273873,184543200.0,538279852.336432,43999912.087912078,0.0,8031.659960256363,0.0,7881365.198091438,0.0,7881365.198091438 
 08/19  02:00:00,856544305.7186949,0.0,0.0,89713308.72273873,184543200.0,538279852.336432,43999912.087912078,0.0,8032.571611925151,0.0,7880890.155377281,0.0,7880890.155377281 
 08/19  03:00:00,856544307.9816918,0.0,0.0,89713308.72273873,184543200.0,538279852.336432,43999912.087912078,0.0,8034.834608997878,0.0,7879857.140359309,0.0,7879857.140359309 
 08/19  04:00:00,900544220.3557295,0.0,0.0,89713308.72273873,184543200.0,538279852.336432,87999824.17582415,0.0,8035.120734447626,0.0,7880895.338277087,0.0,7880895.338277087 
 08/19  05:00:00,988548876.2299174,0.0,0.0,89713308.72273873,184543200.0,538279852.336432,175999648.3516483,0.0,12866.819098313506,0.0,15704980.66887787,0.0,15704980.66887787 
 08/19  06:00:00,1848967193.861386,0.0,135347540.3652397,179426617.44547747,92271600.0,717706469.7819098,351999296.7032966,110951800.33262068,144359461.40766866,116904407.82517325,692512642.5824989,684626542.2939824,7886100.2885164399 
 08/19  07:00:00,1900061637.9311789,0.0,191327586.23620869,179426617.44547747,0.0,717706469.7819098,439999120.8791207,103907369.5922554,150790066.17103375,116904407.82517325,584969818.1901164,569248733.6884316,15721084.501684826 
 08/19  08:00:00,2887657427.9704186,0.0,268668332.12715628,897133087.2273873,0.0,897133087.2273873,439999120.8791207,103907369.5922554,163912023.091939,116904407.82517325,321386695.8607371,305645309.7310706,15741386.129666508 
 08/19  09:00:00,2781191303.15062,0.0,287188418.14255937,897133087.2273873,0.0,897133087.2273873,307999384.6153846,103923761.6716408,170909156.4410874,116904407.82517325,210640184.7265691,179172207.28564535,31467977.440923767 
